,Time_index,Frequency,Bandwidth,Amplitude
0,[0],[21],[18.36922602426904],[64.87794043616044]
1,"[1, 1]","[21, 159]","[18.46351867831056, 25.364821343777834]","[61.76577720129695, 0.8466749867864316]"
2,"[2, 2]","[21, 160]","[18.65034555834043, 26.001649157701678]","[56.74707514669814, 0.8664655424846034]"
3,"[3, 3]","[21, 160]","[18.537128654179682, 24.928908466700904]","[53.30844468093668, 0.880254440428321]"
4,"[4, 4]","[20, 160]","[18.254981735960932, 24.735127128635725]","[53.23915043388309, 0.9108983110517329]"
5,"[5, 5]","[20, 160]","[17.66473309490433, 24.727423805088335]","[50.057635874579056, 0.8869047752284787]"
6,"[6, 6]","[20, 161]","[17.036885274048526, 25.638473318958518]","[47.29233885319604, 0.9075109538160794]"
7,"[7, 7]","[19, 161]","[16.498102611879904, 24.87392564484213]","[45.70763356952199, 0.9249385326406678]"
8,"[8, 8]","[19, 162]","[15.937757377771746, 23.80678379957078]","[45.94582409670967, 0.9285082603620423]"
9,"[9, 9, 9]","[20, 162, 308]","[15.944529516310602, 24.11769740362618, 65.29727253369146]","[45.6128826669643, 0.9647960680058589, 0.7766435476414022]"
10,"[10, 10, 10, 10]","[20, 163, 309, 500]","[16.060100825040898, 24.33512705265582, 37.84103986886805, 37.47484603739758]","[46.841874047470725, 0.9775109099101909, 0.8471498428387326, 0.8229775887948514]"
11,"[11, 11, 11, 11]","[19, 162, 309, 491]","[15.696007704528018, 23.738616638116355, 30.9177889462577, 45.200899627105684]","[47.345568036039886, 0.9626215141876244, 0.8861411441848699, 1.1626506981684221]"
12,"[12, 12, 12, 12]","[19, 163, 308, 487]","[14.052928322353178, 22.98196987117305, 29.6389466049593, 43.58511254819166]","[41.10666386183809, 0.9708318066537756, 0.845268807673705, 1.5427675790280986]"
13,"[13, 13, 13, 13]","[16, 163, 309, 480]","[10.619090035460589, 23.184843049363877, 28.587607929603678, 48.50132026981589]","[36.464676978976094, 1.0424085537891592, 0.8509494935989272, 2.951774454464198]"
14,"[14, 14, 14, 14]","[15, 163, 309, 468]","[9.864121389796768, 23.004960555690843, 30.03950799803215, 44.75363227097296]","[33.50994545500946, 1.0974690230479762, 0.8742633992907168, 4.662948400304166]"
15,"[15, 15, 15, 15]","[17, 163, 309, 467]","[11.448855415215679, 22.737659522538962, 29.061275219914933, 42.80178897638086]","[32.90690138804081, 1.0676332167077778, 0.886542097385387, 5.0830207171110695]"
16,"[16, 16, 16, 16]","[17, 163, 309, 467]","[12.285105005779988, 22.90322627187942, 29.306907636409846, 44.96483018372885]","[33.87082474804724, 1.0271857914689033, 0.9082324064635275, 5.136789824787895]"
17,"[17, 17, 17, 17]","[18, 163, 309, 467]","[13.208073978067645, 23.1964073379809, 32.958519503539264, 45.92985121349301]","[35.30235544131141, 0.9825859138709117, 0.8836980560238705, 5.474612792756556]"
18,"[18, 18, 18, 18]","[18, 163, 308, 467]","[14.051224094267646, 22.545753550953265, 52.8239957923584, 46.04555805407699]","[36.38036266902731, 0.9060002303745668, 0.8631133197627077, 5.683941577527371]"
